Time,Alloy,Scenario,Values
1920.0,Primary castings,Scenario3,0.0
1920.0,Primary castings,Scenario4,0.0
1920.0,Secondary castings,Baseline,0.0
1920.0,Secondary castings,Scenario1,0.0
1920.0,Secondary castings,Scenario2,0.0
1920.0,Secondary castings,Scenario3,0.0
1920.0,Secondary castings,Scenario4,0.0
1921.0,Wrought,Baseline,0.0
1921.0,Wrought,Scenario1,0.0
1921.0,Wrought,Scenario2,0.0
1921.0,Wrought,Scenario3,0.0
1921.0,Wrought,Scenario4,0.0
1921.0,Primary castings,Baseline,0.0
1921.0,Primary castings,Scenario1,0.0
1921.0,Primary castings,Scenario2,0.0
1921.0,Primary castings,Scenario3,0.0
1921.0,Primary castings,Scenario4,0.0
1921.0,Secondary castings,Baseline,0.0
1921.0,Secondary castings,Scenario1,0.0
1921.0,Secondary castings,Scenario2,0.0
1921.0,Secondary castings,Scenario3,0.0
1921.0,Secondary castings,Scenario4,0.0
1922.0,Wrought,Baseline,0.0
1922.0,Wrought,Scenario1,0.0
1922.0,Wrought,Scenario2,0.0
1922.0,Wrought,Scenario3,0.0
1922.0,Wrought,Scenario4,0.0
1922.0,Primary castings,Baseline,0.0
1922.0,Primary castings,Scenario1,0.0
1922.0,Primary castings,Scenario2,0.0
1922.0,Primary castings,Scenario3,0.0
1922.0,Primary castings,Scenario4,0.0
1922.0,Secondary castings,Baseline,0.0
1922.0,Secondary castings,Scenario1,0.0
1922.0,Secondary castings,Scenario2,0.0
1922.0,Secondary castings,Scenario3,0.0
1922.0,Secondary castings,Scenario4,0.0
1923.0,Wrought,Baseline,0.0
1923.0,Wrought,Scenario1,0.0
1923.0,Wrought,Scenario2,0.0
1923.0,Wrought,Scenario3,0.0
1923.0,Wrought,Scenario4,0.0
1923.0,Primary castings,Baseline,0.0
1923.0,Primary castings,Scenario1,0.0
1923.0,Primary castings,Scenario2,0.0
1923.0,Primary castings,Scenario3,0.0
1923.0,Primary castings,Scenario4,0.0
1923.0,Secondary castings,Baseline,0.0
1923.0,Secondary castings,Scenario1,0.0
1923.0,Secondary castings,Scenario2,0.0
1923.0,Secondary castings,Scenario3,0.0
1923.0,Secondary castings,Scenario4,0.0
1924.0,Wrought,Baseline,0.0
1924.0,Wrought,Scenario1,0.0
1924.0,Wrought,Scenario2,0.0
1924.0,Wrought,Scenario3,0.0
1924.0,Wrought,Scenario4,0.0
1924.0,Primary castings,Baseline,0.0
1924.0,Primary castings,Scenario1,0.0
1924.0,Primary castings,Scenario2,0.0
1924.0,Primary castings,Scenario3,0.0
1924.0,Primary castings,Scenario4,0.0
1924.0,Secondary castings,Baseline,0.0
1924.0,Secondary castings,Scenario1,0.0
1924.0,Secondary castings,Scenario2,0.0
1924.0,Secondary castings,Scenario3,0.0
1924.0,Secondary castings,Scenario4,0.0
1925.0,Wrought,Baseline,0.0
1925.0,Wrought,Scenario1,0.0
1925.0,Wrought,Scenario2,0.0
1925.0,Wrought,Scenario3,0.0
1925.0,Wrought,Scenario4,0.0
1925.0,Primary castings,Baseline,0.0
1925.0,Primary castings,Scenario1,0.0
1925.0,Primary castings,Scenario2,0.0
1925.0,Primary castings,Scenario3,0.0
1925.0,Primary castings,Scenario4,0.0
1925.0,Secondary castings,Baseline,0.0
1925.0,Secondary castings,Scenario1,0.0
1925.0,Secondary castings,Scenario2,0.0
1925.0,Secondary castings,Scenario3,0.0
1925.0,Secondary castings,Scenario4,0.0
1926.0,Wrought,Baseline,0.0
1926.0,Wrought,Scenario1,0.0
1926.0,Wrought,Scenario2,0.0
1926.0,Wrought,Scenario3,0.0
1926.0,Wrought,Scenario4,0.0
1926.0,Primary castings,Baseline,0.0
